1st quarter 2014,1147388,71188,6.2,0.2,2.8,2.4,15.0
4th quarter 2013,1144544,69244,6.0,0.6,3.0,3.8,15.7
3rd quarter 2013,1137327,67250,5.9,1.0,3.5,4.7,17.6
2nd quarter 2013,1125990,64962,5.8,0.5,4.9,4.8,17.9
1st quarter 2013,1120085,61911,5.5,1.5,3.4,4.1,15.1
4th quarter 2012,1103156,59862,5.4,1.5,4.7,4.4,13.7
3rd quarter 2012,1086483,57196,5.3,1.2,3.8,4.7,15.8
2nd quarter 2012,1073961,55095,5.1,-0.2,2.4,4.5,14.2
1st quarter 2012,1075649,53788,5.0,1.8,2.2,6.3,15.5
4th quarter 2011,1056364,52628,5.0,1.8,6.6,6.9,16.9
